Category;EXXXXX;Equities;Financial instruments representing an ownership interest in an entity or pool of assets.
AttributeValue;ELNXXX;N;Non-voting (the shareholder has no voting right);
AttributeValue;ELRXXX;R;Restricted voting (the shareholder may be entitled to less than one vote per share);
AttributeValue;ELEXXX;E;Enhanced voting (the shareholder is entitled to more than one vote per share);
Attribute;SecondAttribute;Ownership/transfer/sales restrictions;the ownership or transfer of the security is subject to special conditions including country-specific restrictions;
AttributeValue;ELXTXX;T;Restrictions;
AttributeValue;ELXUXX;U;Free (unrestricted);
Attribute;ThirdAttribute;Payment status;;
AttributeValue;ELXXOX;O;Nil paid;
AttributeValue;ELXXPX;P;Partly paid;
AttributeValue;ELXXFX;F;Fully paid;
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;ELXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;ELXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;ELXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;ELXXXM;M;Others (miscellaneous);
Group;EDXXXX;Depository receipts on equities;"Depository receipts are securities that facilitate the ownership of securities traded in other jurisdictions. Depository receipts are widely used in order to allow the trading of shares in jurisdictions other than the one where the original shares were issued.";
Attribute;FirstAttribute;Instrument dependency;;
AttributeValue;EDSXXX;S;Common/ordinary shares;
AttributeValue;EDPXXX;P;Preferred/preference shares;
AttributeValue;EDCXXX;C;Common/ordinary convertible shares;
AttributeValue;EDFXXX;F;Preferred/preference convertible shares;
AttributeValue;EDLXXX;L;Limited partnership units;
AttributeValue;EDMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Redemption/conversion of the underlying assets;Redemption/conversion of the underlying assets (Guideline: For common/ordinary shares and limited partnership units, only the values N (Perpetual) and X (Not applicable/undefined) may be used. All other values apply for other underlying instruments.);
AttributeValue;EDXRXX;R;Redeemable;
AttributeValue;EDXNXX;N;Perpetual;
AttributeValue;EDXBXX;B;Convertible;
AttributeValue;EDXDXX;D;Convertible/redeemable;
Attribute;ThirdAttribute;Income;indicates the kind of dividend income the shareholders are entitled to;
AttributeValue;EDXXFX;F;Fixed rate income (the shareholder periodically receives a stated income);
AttributeValue;EDXXCX;C;"Cumulative, fixed rate income (the shareholder periodically receives a stated amount; dividends not paid in any year accumulate and shall be paid at a later date before dividends can be paid on the common/ordinary shares)";
AttributeValue;EDXXPX;P;Participating income (preferred/preference shareholders, in addition to receiving their fixed rate of prior dividend, share with the common shareholders in further dividend distributions and in capital distributions);
AttributeValue;EDXXQX;Q;"Cumulative, participating income (shareholders are entitled to dividends in excess of the stipulated preferential rate under specified conditions; dividends not paid in any year accumulate and shall be paid at a later date before dividends can be paid on the common/ordinary shares)";
AttributeValue;EDXXAX;A;Adjustable/variable rate income (the dividend rate is seperiodically, usually based on a certain yield);
AttributeValue;EDXXNX;N;Normal rate income (shareholders are entitled to the same dividends as common/ordinary shareholders, but have other privileges, e.g. as regards distribution of assets upon dissolution);
AttributeValue;EDXXUX;U;Auction rate income (dividend is adjusted through an auction, such as the Dutch auction);
AttributeValue;EDXXDX;D;Dividends;
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;EDXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;EDXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;EDXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;EDXXXM;M;Others (miscellaneous);
Group;EYXXXX;Structured instruments (participation);"The construction is generally based on a low exercise price option (LEPO) (base value less discounted future dividends) which in some cases might be comparable to a direct investment in the underlying asset(s) or a LEPO combined with other options, which together provide the desired disbursement profile.";
Attribute;FirstAttribute;Type;;
AttributeValue;EYAXXX;A;"Tracker certificate [participation in development of the underlying asset(s); reflects underlying price moves 1:1 (adjusted by conversion ratio and any related fees); risk is comparable to direct investment in the underlying asset(s)]";
AttributeValue;EYBXXX;B;"Outperformance certificate [participation in development of the underlying asset(s); disproportionate participation (outperformance) in positive performance above the strike; reflects underlying price moves 1:1 (adjusted by conversion ratio and any related fees); risk is comparable to direct investment in the underlying asset(s)]";
AttributeValue;EYCXXX;C;"Bonus certificate [participation in development of the underlying asset(s); minimum redemption is equal to the nominal value provided the barrier has not been breached; if the barrier is breached the product changes into a tracker certificate; with greater risk multiple underlying asset(s) (worst-of) allow for a higher bonus level or lower barrier; reduced risk compared to a direct investment into the underlying asset(s)]";
AttributeValue;EYDXXX;D;"Outperformance bonus certificate [participation in development of the underlying asset(s); disproportionate participation (outperformance) in positive performance above the strike; minimum redemption is equal to the nominal value provided the barrier has not been breached; if the barrier is breached the product changes into an outperformance certificate; with greater risk multiple underlying asset(s) (worst-of) allow for a higher bonus level or lower barrier; reduced risk compared to a direct investment into the underlying asset(s)]";
AttributeValue;EYEXXX;E;"Twin-win-certificate [participation in development of the underlying asset(s); profits possible with rising and falling underlying asset values; falling underlying asset price converts into profit up to the barrier; minimum redemption is equal to the nominal value provided the barrier has not been breached; if the barrier is breached the product changes into a tracker certificate; with higher risk levels, multiple underlying asset(s) (worst-of) allow for a higher bonus level or lower barrier; reduced risk compared to a direct investment into the underlying asset(s)]";
AttributeValue;EYMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Distribution;indicates the cash distribution provided by the structured instrument;
AttributeValue;EYXDXX;D;Dividend payments (depending on strategy of the structured instrument);
AttributeValue;EYXYXX;Y;No payments;
AttributeValue;EYXMXX;M;Others (miscellaneous);
Attribute;ThirdAttribute;Repayment;indicates the repayment form provided by the structured instrument;
AttributeValue;EYXXFX;F;Cash repayment;
AttributeValue;EYXXVX;V;Physical repayment;
AttributeValue;EYXXEX;E;Elect at settlement (determined at the time of settlement);
AttributeValue;EYXXMX;M;Others (miscellaneous);
Attribute;FourthAttribute;Underlying assets;indicates the type of underlying assets in which the structured instrument participates;
AttributeValue;EYXXXB;B;Baskets (group of securities that have been put together for a specific investment purpose);
AttributeValue;EYXXXS;S;Equities;
AttributeValue;EYXXXD;D;Debt instruments;
AttributeValue;EYXXXG;G;Derivatives (options, futures, swaps, spot, forwards, strategies, financing);
AttributeValue;EYXXXT;T;Commodities;
AttributeValue;EYXXXC;C;Currencies (specified exchange rate);
AttributeValue;EYXXXI;I;Indices (the performance of an index);
AttributeValue;EYXXXN;N;Interest rates (specified amount based on the future level of interest rates);
AttributeValue;EYXXXM;M;Others (miscellaneous);
Group;EMXXXX;Others (miscellaneous);"Equities that do not fit into any of the other Equity Groups.";
Attribute;FirstAttribute;Not applicable/undefined;;
AttributeValue;EMXXXX;X;Not applicable/undefined;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;EMXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;EMXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;EMXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;EMXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;EMXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;EMXXXZ;Z;Bearer depository receipt (Receipt - in bearer form - for securities issued in a foreign market to promote trading outside the home country of the underlying securities.);
AttributeValue;EMXXXM;M;Others (miscellaneous);
AttributeValue;EMXXXA;A;Registered depository receipt (e g ADR, Receipt - in registered form -for securities issued in a foreign market to promote trading outside the home country of the underlying securities);
Category;CXXXXX;Collective investment vehicles (CIVs);Securities representing a portion of assets pooled by investors run by a management company whose share capital remains separate from such assets and includes issues of shares or units in the form of, for example, a unit trust, mutual fund, OICVM, OPCVM, SICAV or SICAF.
Group;CIXXXX;Standard (vanilla) investment funds/mutual funds;"An investment vehicle that is made up of a pool of funds collected from many investors for the purpose of investing in securities such as stocks, bonds, money market instruments and similar assets.";
Attribute;FirstAttribute;Closed/open-end;indicates whether units are traded or whether funds continually stand ready to sell new units and redeem the outstanding units on demand;
AttributeValue;CICXXX;C;Closed-end [units are sold on either an organized exchange or in the over-the-counter (OTC) market and are usually not redeemed];
AttributeValue;CIOXXX;O;Open-end (funds permanently sell new units to the public and redeem outstanding units on demand, resulting in an increase or decrease of outstanding capital);
AttributeValue;CIMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Distribution policy;Distribution policy (indicates the fund's normal distribution policy);
AttributeValue;CIXIXX;I;Income funds (the fund regularly distributes its investment profits);
AttributeValue;CIXGXX;G;Accumulation funds (the fund normally reinvests its investment profits);
AttributeValue;CIXJXX;J;Mixed funds (investment profits are partly distributed, partly reinvested);
Attribute;ThirdAttribute;Assets;indicates the underlying assets in which the fund invests;
AttributeValue;CIXXRX;R;Real estate;
AttributeValue;CIXXBX;B;Debt instruments (fund invests in debt instrument regardless of maturity);
AttributeValue;CIXXEX;E;Equities;
AttributeValue;CIXXVX;V;Convertible securities;
AttributeValue;CIXXLX;L;Mixed (fund invests in different assets);
AttributeValue;CIXXCX;C;Commodities;
AttributeValue;CIXXDX;D;Derivatives  (Fund invests in derivatives.);
AttributeValue;CIXXFX;F;Referential instruments excluding commodities;
AttributeValue;CIXXKX;K;"Credits [contractual agreement in which a borrower receives something of value (good, service or money) now and agrees to repay the lender at some date in the future, generally with interest; CIVs normally invest in credits originated by third parties; credits are not freely transferable like debt securities]";
AttributeValue;CIXXMX;M;Others (miscellaneous);
Attribute;FourthAttribute;Security type and investor restrictions;;
AttributeValue;CIXXXS;S;Shares (retail and/or qualified/institutional/professional investors);
AttributeValue;CIXXXQ;Q;Shares for QI (qualified/institutional/professional investors only);
AttributeValue;CIXXXU;U;Units (retail and/or qualified/institutional/professional investors);
AttributeValue;CIXXXY;Y;Units for QI (qualified/institutional/professional investors only);
Group;CHXXXX;Hedge funds;"Type of investment fund which pursues a total return and is usually open to qualified investors only.";
Attribute;FirstAttribute;Investment strategy ;the investment process describes core hedge fund strategy characteristics;
AttributeValue;CHDXXX;D;"Directional [the two biggest constituents of directional are macro and commodity trading advisor (CTA)/managed futures; macro describes directional strategies that are based upon the direction of market prices of currencies, commodities, equities, fixed income and includes futures and cash markets; CTA/managed futures describe strategies that are based upon futures contracts across all asset classes only]";
AttributeValue;CHRXXX;R;"Relative value (strategies focusing on the spread relationships across various financial assets or commodities; they often utilize leverage and avoid market risk, although spread risk may often be large)";
AttributeValue;CHSXXX;S;"Security selection (strategies typically equity-based and including long/short equity; the manager attempts to make money from superior stock selection by building some combination of long and short positions in such a way to mitigate systematic market risks)";
AttributeValue;CHEXXX;E;Event-driven (combination of investment strategies focusing on securities that are expected to experience a change in valuation due to corporate transactions or events such as bankruptcies);
AttributeValue;CHAXXX;A;Arbitrage (in economics and finance, arbitrage is the practice of taking advantage of a price difference between two or more markets, striking a combination of matching deals that capitalize upon the imbalance, the profit being the difference between the market prices);
AttributeValue;CHNXXX;N;Multi-strategy (multi-strategy as a separate set of investment strategies is broad and by it the manager is expected to maintain approximately 25 % of portfolio exposure in two or more strategies that are distinct from one another);
AttributeValue;CHLXXX;L;"Asset-based lending (strategy based on providing loans against assets to companies, including the ones viewed as not being creditworthy by commercial banks; the amount of the loan is secured by claims against the borrower’s assets and as such it is directly determined by the assets' value)";
AttributeValue;CHMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;CHXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;CHXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;CHXXXX;X;Not applicable/undefined;
Group;CBXXXX;Real estate investment trusts (REIT);"An REIT is a real estate company that offers shares/units to the public and invests in real estate directly, either through properties or mortgages.";
Attribute;FirstAttribute;Closed/open-end;indicates whether units are traded or whether funds continually stand ready to sell new units and redeem the outstanding units on demand;
AttributeValue;CBCXXX;C;Closed-end [units are sold on either an organized exchange or in the over-the-counter (OTC) market and are usually not redeemed];
AttributeValue;CBOXXX;O;Open-end (funds permanently sell new units to the public and redeem outstanding units on demand, resulting in an increase or decrease of outstanding capital);
AttributeValue;CBMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Distribution policy;Distribution policy (indicates the fund's normal distribution policy);
AttributeValue;CBXIXX;I;Income funds (the fund regularly distributes its investment profits);
AttributeValue;CBXGXX;G;Accumulation funds (the fund normally reinvests its investment profits);
AttributeValue;CBXJXX;J;Mixed funds (investment profits are partly distributed, partly reinvested);
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;CBXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Security type and investor restrictions;;
AttributeValue;CBXXXS;S;Shares (retail and/or qualified/institutional/professional investors);
AttributeValue;CBXXXQ;Q;Shares for QI (qualified/institutional/professional investors only);
AttributeValue;CBXXXU;U;Units (retail and/or qualified/institutional/professional investors);
AttributeValue;CBXXXY;Y;Units for QI (qualified/institutional/professional investors only);
Group;CEXXXX;Exchange traded funds (ETF);"An ETF is an investment fund traded on stock exchanges, much like stocks. An ETF holds assets such as stocks, commodities or bonds, and trades close to its net asset value over the course of the trading day. Most ETFs track an index, such as a stock, bond or commodity index.";
Attribute;FirstAttribute;Closed/open-end;indicates whether units are traded or whether funds continually stand ready to sell new units and redeem the outstanding units on demand;
AttributeValue;CECXXX;C;Closed-end [units are sold on either an organized exchange or in the over-the-counter (OTC) market and are usually not redeemed];
AttributeValue;CEOXXX;O;Open-end (funds permanently sell new units to the public and redeem outstanding units on demand, resulting in an increase or decrease of outstanding capital);
AttributeValue;CEMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Distribution policy;Distribution policy (indicates the fund's normal distribution policy);
AttributeValue;CEXIXX;I;Income funds (the fund regularly distributes its investment profits);
AttributeValue;CEXGXX;G;Accumulation funds (the fund normally reinvests its investment profits);
AttributeValue;CEXJXX;J;Mixed funds (investment profits are partly distributed, partly reinvested);
Attribute;ThirdAttribute;Assets;indicates the underlying assets in which the fund invests;
AttributeValue;CEXXRX;R;Real estate;
AttributeValue;CEXXBX;B;Debt instruments (fund invests in debt instrument regardless of maturity);
AttributeValue;CEXXEX;E;Equities;
AttributeValue;CEXXVX;V;Convertible securities;
AttributeValue;CEXXLX;L;Mixed (fund invests in different assets);
AttributeValue;CEXXCX;C;Commodities;
AttributeValue;CEXXDX;D;Derivatives  (Fund invests in derivatives.);
AttributeValue;CEXXFX;F;Referential instruments excluding commodities;
AttributeValue;CEXXKX;K;"Credits [contractual agreement in which a borrower receives something of value (good, service or money) now and agrees to repay the lender at some date in the future, generally with interest; CIVs normally invest in credits originated by third parties; credits are not freely transferable like debt securities]";
AttributeValue;CEXXMX;M;Others (miscellaneous);
Attribute;FourthAttribute;Security type and investor restrictions;;
AttributeValue;CEXXXS;S;Shares (retail and/or qualified/institutional/professional investors);
AttributeValue;CEXXXU;U;Units (retail and/or qualified/institutional/professional investors);
Group;CSXXXX;Pension funds;"A pension fund is run by a financial intermediary for the company and its employees. The pension fund is a common asset pool meant to generate stable growth over the long term.";
Attribute;FirstAttribute;Closed/open;;
AttributeValue;CSCXXX;C;Closed (pension funds supporting only pension plans that are limited to certain employees);
AttributeValue;CSOXXX;O;Open (pension funds supporting at least one pension plan with no restriction on membership);
AttributeValue;CSMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Strategy/style;;
AttributeValue;CSXBXX;B;Balanced/conservative;
AttributeValue;CSXGXX;G;Growth;
AttributeValue;CSXLXX;L;Life style (strategy changes depending on age group of members);
AttributeValue;CSXMXX;M;Others (miscellaneous);
Attribute;ThirdAttribute;Type of pension fund;;
AttributeValue;CSXXRX;R;Defined benefit;
AttributeValue;CSXXBX;B;Defined contribution;
AttributeValue;CSXXMX;M;Others (miscellaneous);
Attribute;FourthAttribute;Security type and investor restrictions;;
AttributeValue;CSXXXS;S;Shares (retail and/or qualified/institutional/professional investors);
AttributeValue;CSXXXU;U;Units (retail and/or qualified/institutional/professional investors);
Group;CFXXXX;Funds of funds;"A fund of funds is a CIV that invests directly in other investment funds rather than investing in stocks, bonds or other securities.";
Attribute;FirstAttribute;Closed/open-end;indicates whether units are traded or whether funds continually stand ready to sell new units and redeem the outstanding units on demand;
AttributeValue;CFCXXX;C;Closed-end [units are sold on either an organized exchange or in the over-the-counter (OTC) market and are usually not redeemed];
AttributeValue;CFOXXX;O;Open-end (funds permanently sell new units to the public and redeem outstanding units on demand, resulting in an increase or decrease of outstanding capital);
AttributeValue;CFMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Distribution policy;Distribution policy (indicates the fund's normal distribution policy);
AttributeValue;CFXIXX;I;Income funds (the fund regularly distributes its investment profits);
AttributeValue;CFXGXX;G;Accumulation funds (the fund normally reinvests its investment profits);
AttributeValue;CFXJXX;J;Mixed funds (investment profits are partly distributed, partly reinvested);
Attribute;ThirdAttribute;Type of funds; indicates the type of funds in which the fund invests;
AttributeValue;CFXXIX;I;Standard (vanilla) investment funds/mutual funds;
AttributeValue;CFXXHX;H;Hedge funds;
AttributeValue;CFXXBX;B;Real estate investment trusts (REITs);
AttributeValue;CFXXEX;E;ETFs;
AttributeValue;CFXXPX;P;Private equity funds;
AttributeValue;CFXXMX;M;Others (miscellaneous);
Attribute;FourthAttribute;Security type and investor restrictions;;
AttributeValue;CFXXXS;S;Shares (retail and/or qualified/institutional/professional investors);
AttributeValue;CFXXXQ;Q;Shares for QI (qualified/institutional/professional investors only);
AttributeValue;CFXXXU;U;Units (retail and/or qualified/institutional/professional investors);
AttributeValue;CFXXXY;Y;Units for QI (qualified/institutional/professional investors only);
Group;CPXXXX;Private equity funds;"A private equity fund is normally structured as a limited partnership or a limited liability company (investors are limited partners) managed by a GP.";
Attribute;FirstAttribute;Closed/open-end;indicates whether units are traded or whether funds continually stand ready to sell new units and redeem the outstanding units on demand;
